beer.id,beer.name,beer.abv,beer.style,beer.brewerid
3,Cactus Queen IPA,,American IPA,2
4,Wildcatter's Crude Stout,,American Stout,2
5,Amber,4.5,Vienna Lager,3
6,Turbodog,5.6,English Brown Ale,3
7,Purple Haze,4.2,Fruit / Vegetable Beer,3
8,Wheat,4.2,American Adjunct Lager,3
9,Golden,4.2,American Pale Lager,3
10,Allagash Dubbel Ale,7,Dubbel,4
11,Bert Grant's Scottish Ale,4.7,Scottish Ale,5
12,Bert Grant's Imperial Stout,6,Russian Imperial Stout,5
13,Bert Grant's IPA,4.2,English India Pale Ale (IPA),5
14,Witkap Pater Singel / Stimulo,6,Belgian Pale Ale,6
15,Wild Goose Snow Goose Winter Ale,6.3,Winter Warmer,69
16,Hop Jack Pale Ale,,American Pale Ale (APA),8
17,Widmer Hefeweizen,4.9,American Pale Wheat Ale,8
18,Sommerbräu,4.8,Kölsch,8
19,Mackeson Triple XXX Stout,4.9,Milk / Sweet Stout,9
20,Old Izaak,5,Extra Special / Strong Bitter (ESB),10
21,Deep Shaft Stout,6.2,Foreign / Export Stout,18
23,Wachusett IPA (India Pale Ale),5.6,American IPA,20
24,Wachusett Black Shack Porter,,American Porter,20
26,Wachusett Octoberfest Ale,5.2,American Amber / Red Ale,20
27,Quinn's Amber Ale,,Irish Red Ale,20
28,Wachusett Winter Fest Ale,,Winter Warmer,20
29,Peter's Brand Pilsner Beer,5,German Pilsener,21
30,Trois Pistoles,9,Belgian Strong Dark Ale,22
31,Blanche De Chambly,5,Witbier,22
32,Eau Benite,7.7,Tripel,22
33,Maudite,8,Belgian Strong Dark Ale,22
34,La Fin Du Monde,9,Tripel,22
35,Twisted Pine Amber Ale,5.3,American Amber / Red Ale,23
36,Traquair House Ale,7.2,Scotch Ale / Wee Heavy,24
37,Cobnut Nut Brown Ale,,English Brown Ale,25
38,Burnham Pilsner,4.2,German Pilsener,26
39,Alpha King Pale Ale,6,American Pale Ale (APA),26
40,Three Floyds Extra Pale Ale,5.25,American Pale Ale (APA),26
41,Light Lager,4,Light Lager,155
42,Dark Ale,5,English Brown Ale,155
43,Rebellion Lager,6,American Pale Lager,155
44,Lager,5,American Pale Lager,155
45,Woody's Wild Ale,,American Pale Ale (APA),155
46,Rebellion Ale,,American Pale Ale (APA),155
47,Tremont Summer Ale,4.4,American Pale Ale (APA),139
48,Tremont Porter,5.4,American Porter,154
49,Tremont Winter Ale,7.2,Winter Warmer,139
50,Tremont Freedom Trail IPA,6.4,English India Pale Ale (IPA),139
51,Tremont Ale,4.8,English Pale Ale,139
52,Melbourn Bros. Apricot,3.4,Fruit / Vegetable Beer,101
54,Blackhook Porter,5.23,American Porter,18134
55,Redhook Double Black Stout (with Coffee),7,American Double / Imperial Stout,18134
56,Melbourn Bros. Strawberry,3.4,Fruit / Vegetable Beer,101
58,Allagash Grand Cru,7.2,Quadrupel (Quad),4
59,Allagash White,5.2,Witbier,4
60,Hard Hat American Beer,3.8,American Adjunct Lager,27
61,Anchor Porter,5.6,American Porter,28
62,Our Special Ale 1998 (Anchor Christmas Ale),,Winter Warmer,28
63,Anchor Steam Beer,4.9,California Common / Steam Beer,28
65,Budweiser,5,American Adjunct Lager,29
66,King Cobra Premium Malt Liquor,6,American Malt Liquor,29
67,14'ER ESB,5.13,Extra Special / Strong Bitter (ESB),30
68,Redhook Rye,,Rye Beer,18134
69,Redhook Blonde,5.77,American Blonde Ale,18134
71,Redhook Hefe-Weizen,5.19,Hefeweizen,18134
72,Redhook Nut Brown Ale,5.57,English Brown Ale,18134
73,Young's Double Chocolate Stout,5.2,Milk / Sweet Stout,664
74,Post Road Pumpkin Ale,5,Pumpkin Ale,45
75,Pocono Caramel Porter,,American Porter,150
76,Brewery Hill Centennial Lager,,American Pale Lager,150
78,Blanche De Bruxelles / Manneken Pis Belgian White,4.5,Witbier,149
79,Wee Heavy,6.5,Scotch Ale / Wee Heavy,148
80,Organic Münster Alt,5.1,Altbier,31
81,Organic Ur Pils,5.2,German Pilsener,31
82,Organic Hefe-Weizen,5.1,Hefeweizen,31
83,Beck's Oktoberfest,5,Märzen / Oktoberfest,32
84,Independence Wheat Ale,,American Pale Wheat Ale,33
85,Coffeehouse Porter,6.2,American Porter,33
86,Drayman's Porter,6.2,American Porter,33
87,Stone Pale Ale,5.4,American Pale Ale (APA),147
88,Stone IPA (India Pale Ale),6.9,American IPA,147
89,Lost Sailor India Pale Ale,5.5,English India Pale Ale (IPA),33
90,Stone Smoked Porter,5.9,American Porter,147
92,Arrogant Bastard Ale,7.2,American Strong Ale,147
93,Steel Rail Extra Pale Ale,5.3,American Pale Ale (APA),33
94,Red Sky Ale,,American Amber / Red Ale,146
95,Wit Original,,Witbier,145
96,Black Bavarian,6,Schwarzbier,144
97,Special Amber,5,Vienna Lager,144
99,Spaten Optimator,7.6,Doppelbock,142
100,Blue Moon Harvest Moon Pumpkin Ale,5.7,Pumpkin Ale,306
101,Samuel Adams Winter Lager,5.5,Bock,35
102,Samuel Adams Octoberfest,5.3,Märzen / Oktoberfest,35
103,Samuel Adams Summer Ale,5.3,American Pale Wheat Ale,35
104,Samuel Adams Boston Lager,4.9,Vienna Lager,35
106,Samuel Adams Spring Ale,5.2,Kölsch,35
108,Samuel Adams Cherry Wheat,5.3,Fruit / Vegetable Beer,35
109,Samuel Adams Golden Pilsner,4.63,German Pilsener,35
110,Samuel Adams Cream Ale,,Cream Ale,35
111,Samuel Adams Triple Bock,17.5,American Strong Ale,35
114,Belzebuth,13,Belgian Strong Pale Ale,36
115,Butthead Doppelbock,8.2,Doppelbock,156
116,Jack Whacker Wheat Ale,4.7,American Pale Wheat Ale,156
117,Maple Nut Brown Ale,4.5,American Brown Ale,156
118,Red Eye Märzen Stil Lager,,Märzen / Oktoberfest,156
119,Lost Dutchman Gold Ale,,Kölsch,156
120,Pick Axe IPA,6.2,American IPA,156
121,Stone Mansion Stout,,American Stout,157
122,Artist Colony Ale,,English Brown Ale,157
123,Iowa Pale Ale,5,English India Pale Ale (IPA),157
124,Stein Bock,6.25,Maibock / Helles Bock,157
125,John's Generations White Ale,5.2,Witbier,107
126,Stone City Hefeweizen,,Hefeweizen,157
127,Stone Bluff Pils,4.5,German Pilsener,157
128,Aaaah Bock,,Bock,157
129,Orval Trappist Ale,6.9,Belgian Pale Ale,37
130,Grand Cru,,Belgian Dark Ale,36
131,Ayinger Celebrator Doppelbock,6.7,Doppelbock,39
132,Ayinger Bräu Weisse,5.1,Hefeweizen,39
133,Ayinger Jahrhundert Bier,5.5,Dortmunder / Export Lager,39
134,Ayinger Altbairisch Dunkel,5,Munich Dunkel Lager,39
135,Ayinger Ur-Weisse,5.8,Dunkelweizen,39
136,Ayinger Maibock,,Maibock / Helles Bock,39
137,König Pilsener,4.9,German Pilsener,40
138,Corsendonk Pater / Abbey Brown Ale,7.5,Dubbel,41
139,Corsendonk Agnus / Abbey Pale Ale,7.5,Tripel,41
140,Corsendonk Christmas Ale,8.5,Belgian Strong Dark Ale,41
141,Hennepin (Farmhouse Saison),7.7,Saison / Farmhouse Ale,42
142,Ommegang (Abbey Ale),8.5,Dubbel,42
144,Whitewater Wheat Ale,5.3,Hefeweizen,158
145,Wild Raspberry Ale,5.6,Fruit / Vegetable Beer,158
146,Brooklyn Brown Ale,5.6,American Brown Ale,45
147,Brooklyn East India Pale Ale,6.8,English India Pale Ale (IPA),45
148,Brooklyn Lager,5.2,American Amber / Red Lager,45
149,Kinmount Willie Oatmeal Stout,4.2,Oatmeal Stout,46
150,Merlin's Ale,4.2,Extra Special / Strong Bitter (ESB),46
151,Old Jock Ale,6.7,Scotch Ale / Wee Heavy,46
152,Black Douglas Ale,5.2,Scottish Ale,46
153,Boon Geuze,6,Gueuze,47
155,Gulden Draak (Dark Triple),10.5,Belgian Strong Dark Ale,48
156,Piraat Ale,10.5,Belgian IPA,48
157,Affligem Dubbel,7,Dubbel,196
158,Alimony Ale,6.8,American IPA,205
159,Denver Pale Ale,5.4,English Pale Ale,158
160,Buzzards Bay Golden Ale,4.3,American Blonde Ale,52
161,Tennent's Lager,5,Euro Pale Lager,53
