brewer.id,brewer.brewery_name
1,"Plzensky Prazdroj, a. s."
2,Yellow Rose Brewing Company
3,Abita Brewing Co.
4,Allagash Brewing Company
5,Yakima Brewing Co. / Bert Grant's Ales
6,Brouwerij Slaghmuylder
8,Widmer Brothers Brewing Company
9,Whitbread PLC
10,Whim Ales
11,North East Brewing Company
13,Commonwealth Fish & Beer Company
14,Cambridge Brewing Company
15,Rock Bottom Restaurant and Brewery
18,Freeminer Brewery Ltd.
20,Wachusett Brewing Company
21,Union Export Brewery
22,Unibroue
23,Twisted Pine Brewing Company
24,Traquair House Brewery Lld
25,Tollemache & Cobbold Brewery Ltd
26,Three Floyds Brewing Co. & Brewpub
27,
28,Anchor Brewing Company
29,Anheuser-Busch
30,Avery Brewing Company
31,Brauerei Pinkus Mueller
32,Brauerei Beck & Co.
33,Berkshire Brewing Company Inc.
35,Boston Beer Company (Samuel Adams)
36,Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA)
37,Brasserie d'Orval S.A.
39,Privatbrauerei Franz Inselkammer KG / Brauerei Aying
40,König-Brauerei GmbH
41,Brouwerij Corsendonk
42,Brewery Ommegang
45,Brooklyn Brewery
46,Broughton Ales Ltd
47,Brouwerij Boon
48,Brouwerij Van Steenberge N.V.
52,Buzzards Bay Brewing
53,Tennent Caledonian Breweries
54,Castle Springs Brewing Company
56,Celis Brewery Inc.
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V."
58,Compania Cervecera Del Sur Del Peru S.A. (Cervesur)
59,Concord Brewery
60,Cooperstown Brewing Company
61,Cottrell Brewing Co.
62,D.L. Geary Brewing Company
63,Deschutes Brewery
65,Dornbusch Brewing Company
66,Einbecker Brauhaus AG
67,Eumundi Brewing Group LTD.
68,Flying Dog Brewery
69,"Wild Goose Brewery, LLC"
71,Fuller Smith & Turner PLC
72,Weisses Bräuhaus G. Schneider & Sohn GmbH
73,Great Lakes Brewing Company
74,Gritty McDuff's Brewing Company
75,Grupo Modelo S.A. de C.V.
76,Hacker-Pschorr Bräu GmbH
77,Hammer & Nail Brewers
80,Strathaven Ales
81,Heineken Nederland B.V.
83,Brouwerij van Hoegaarden
84,Hofbräu Kaltenhausen (Brau Union)
85,Pioneer Brewing Co.
88,James Page Brewing Company
90,King & Barnes Ltd.
91,United Breweries - UB Group
92,Cerveceria La Constancia S.A. / BevCo Ltd
94,Long Trail Brewing Co.
95,Löwenbräu AG
96,Magic Hat Brewing Company
97,Maritime Beer Company Inc.
99,Matt Brewing Company
100,McNeill's Brewery
101,Melbourn Bros.
