Profile name, Year, Number of reviews
Knapp85,2011,2059
mikesgroove,2011,1865
Thorpe429,2010,1838
womencantsail,2011,1706
Mora2000,2010,1654
womencantsail,2010,1468
beerguy101,2003,1311
Thorpe429,2011,1258
beerthulhu,2008,1174
JDV,2008,1151
TMoney2591,2010,1151
dsa7783,2008,1143
jrallen34,2010,1134
drabmuh,2010,1113
Rifugium,2011,1043
ChainGangGuy,2008,1008
AgentZero,2011,1005
hopdog,2008,998
TMoney2591,2011,982
drabmuh,2011,981
MasterSki,2011,981
jpm30,2006,980
metter98,2011,950
ClockworkOrange,2009,943
northyorksammy,2011,936
kojevergas,2011,922
mdfb79,2010,919
RblWthACoz,2008,914
magictrokini,2008,890
Jason,2002,880
FosterJM,2011,870
smakawhat,2011,867
HopHead84,2011,863
glid02,2010,861
feloniousmonk,2003,858
CuriousMonk,2011,838
Beerandraiderfan,2010,825
mdfb79,2011,824
ChainGangGuy,2009,820
jwc215,2008,819
ImperialScott,2003,817
mothman,2010,817
thagr81us,2011,813
Gusler,2003,803
emmasdad,2010,801
northyorksammy,2008,797
glid02,2009,790
AtLagerHeads,2003,783
northyorksammy,2009,779
UCLABrewN84,2011,774
Mora2000,2011,769
jwc215,2007,768
Beerandraiderfan,2011,768
paterlodie,2005,765
LilBeerDoctor,2008,765
WoodBrew,2011,764
mactrail,2011,764
northyorksammy,2010,761
metter98,2010,756
THECPJ,2011,750
ktrillionaire,2010,750
mikesgroove,2008,748
LilBeerDoctor,2009,746
BuckeyeNation,2007,743
BuckeyeNation,2006,737
jlindros,2011,731
nickd717,2010,729
corby112,2011,729
cvstrickland,2008,726
emmasdad,2011,724
Urbancaver,2011,722
oline73,2011,722
kwjd,2010,721
dgilks,2011,713
barleywinefiend,2010,712
NeroFiddled,2003,709
ehammond1,2011,707
hopdog,2009,702
Halcyondays,2010,698
wl0307,2006,698
gford217,2009,697
cpetrone84,2010,691
francisweizen,2003,689
biboergosum,2011,687
BuckeyeNation,2005,684
BuckeyeNation,2008,683
mikesgroove,2010,676
BeerFMAndy,2010,676
ffejherb,2009,674
spinrsx,2011,673
Deuane,2008,672
biboergosum,2010,670
northyorksammy,2007,668
mikesgroove,2007,665
stakem,2011,662
northyorksammy,2005,661
mdaschaf,2011,659
kmpitz2,2005,659
Tone,2009,655
Huhzubendah,2011,651
woosterbill,2011,649
beertunes,2010,648
jlindros,2010,646
harrymel,2011,642
tavernjef,2003,640
akorsak,2006,640
BEERchitect,2006,635
WesWes,2004,635
RoyalT,2004,634
emerge077,2011,626
GarthDanielson,2011,626
RblWthACoz,2007,619
lacqueredmouse,2011,618
barleywinefiend,2008,615
brew3crew,2011,615
Phatz,2006,614
russpowell,2008,611
BuckeyeNation,2004,608
UncleJimbo,2003,605
BuckeyeNation,2009,604
mikesgroove,2009,603
marc77,2002,601
BeerFMAndy,2009,600
oberon,2003,600
JayS2629,2011,598
weeare138,2006,596
TheManiacalOne,2007,595
northyorksammy,2006,595
adamette,2009,593
Bighuge,2002,591
charlzm,2008,590
MasterSki,2010,588
Gusler,2002,587
billab914,2010,586
beernut7,2002,583
bobsy,2009,583
Jredner,2006,583
tmoneyba,2009,582
WVbeergeek,2003,581
Viggo,2009,581
JohnQVegas,2009,579
kbutler1,2010,579
CrellMoset,2008,578
Proteus93,2008,578
tempest,2008,578
russpowell,2006,576
johnmichaelsen,2010,576
IntriqKen,2006,571
stakem,2010,570
Floydster,2008,567
Wasatch,2007,567
jujubeast6000,2009,567
junjun,2010,567
jampics2,2010,566
tpd975,2008,565
jpm30,2007,564
rastaman,2002,561
DCon,2011,560
thekevlarkid,2008,559
ppoitras,2004,559
feloniousmonk,2004,559
tbeckett,2011,552
Wasatch,2008,551
GClarkage,2005,550
Gobzilla,2010,547
MbpBugeye,2010,546
alleykatking,2010,545
tdm168,2011,544
hotstuff,2003,544
Halcyondays,2011,543
ChainGangGuy,2007,543
BeerAdvocate,2010,542
ktrillionaire,2011,541
Stinkypuss,2011,541
Kegatron,2010,541
merlin48,2004,540
rye726,2008,539
Georgiabeer,2008,538
rarbring,2010,535
OWSLEY069,2011,534
Huhzubendah,2010,533
brentk56,2008,533
rastaman,2003,532
NeroFiddled,2002,531
tempest,2007,531
aasher,2011,531
woodychandler,2011,531
barleywinefiend,2011,529
tgbljb,2005,527
rhoadsrage,2006,527
HuskyinPDX,2011,525
BeerLover99,2011,525
crossovert,2010,524
vfgccp,2011,524
Kegatron,2009,524
Westsidethreat,2006,523
Zorro,2004,522
DogFood11,2006,521
weeare138,2005,520
Chaney,2011,519
Deuane,2009,519
largadeer,2010,518
ccrida,2008,517
xnicknj,2011,515
RoyalT,2003,514
AlCaponeJunior,2011,514
mothman,2009,514
AgentZero,2010,513
TheManiacalOne,2009,512
BEERchitect,2005,512
zeff80,2008,512
akorsak,2007,512
TheManiacalOne,2008,511
Kegatron,2008,510
dgilks,2010,510
brentk56,2010,508
rudzud,2011,508
jsanford,2011,508
drpimento,2010,506
onix1agr,2009,506
plaid75,2006,505
tai4ji2x,2009,505
WesWes,2005,505
Gueuzedude,2008,505
TheLongBeachBum,2003,505
changeup45,2008,504
scottfrie,2011,504
gford217,2008,502
Crosling,2006,502
tpd975,2009,499
brentk56,2009,499
Goliath,2008,498
northyorksammy,2004,498
russpowell,2007,498
twiggamortis420,2010,498
kingcrowing,2010,497
goodbyeohio,2005,497
scruffwhor,2006,496
francisweizen,2004,496
akorsak,2011,496
liamt07,2011,494
GCBrewingCo,2004,494
rarbring,2011,493
Phelps,2011,493
Kegatron,2011,493
ChainGangGuy,2010,492
Arbitrator,2010,491
jcalabre,2003,491
dyan,2010,489
clayrock81,2008,489
zeff80,2011,488
claspada,2011,487
tgbljb,2006,487
brentk56,2006,487
avalon07,2008,486
cosmicevan,2011,486
Gusler,2004,486
BeerBelcher,2007,486
FreshHawk,2010,485
tpd975,2010,484
ppoitras,2005,484
aerozeppl,2008,482
wl0307,2005,481
ADR,2002,481
CRJMellor,2004,481
Georgiabeer,2007,479
ngeunit1,2011,477
champ103,2010,477
zeff80,2009,476
notchucknorris,2011,474
HopHead84,2009,473
ZenAgnostic,2011,473
akorsak,2010,471
Offa,2008,471
TastyTaste,2005,470
zeff80,2010,470
Phyl21ca,2009,470
jwc215,2006,470
brentk56,2007,469
jwc215,2009,469
Floydster,2007,468
PatrickJR,2008,467
Viggo,2007,466
