Beer style, Beer name, Total rating
American Adjunct Lager,Scharers Lager,5
American Amber / Red Lager,Brooklyn Lager,5
American Barleywine,Backburner (Imperial Barley Wine Style Ale),5
American Blonde Ale,Founders Extra Pale Ale,5
American Brown Ale,Pete's Brown (Tribute Ale),5
American Double / Imperial Pilsner,Full Sail Capsize,5
American Double / Imperial Stout,Bourbon County Brand Vanilla Stout,5
American IPA,Hop Lava IPA,5
American Malt Liquor,AK-47,5
American Porter,Jamesport Mocha Java Porter,5
American Wild Ale,Beatification,5
Belgian Dark Ale,Kapittel Pater,5
Belgian IPA,Poperings Hommel Bier,5
Belgian Pale Ale,Eisenbahn S.A.P.A. (South American Pale Ale),5
Berliner Weissbier,Bell's Oarsman,5
Black & Tan,Yuengling Black & Tan,5
Braggot,Honey Moon,5
California Common / Steam Beer,Old Scratch Amber Lager,5
Cream Ale,Sweet Action,5
Dortmunder / Export Lager,DAB Original,5
Dubbel,St. Bernardus Prior 8,5
Eisbock,Schneider Aventinus Weizen-Eisbock,5
English Barleywine,Dominion Millennium Ale,5
English Bitter,Chalk Hill Tap,5
English Brown Ale,Samuel Smith's Nut Brown Ale,5
English Dark Mild Ale,Harpoon Brown Session Ale,5
English India Pale Ale (IPA),Bitter & Twisted,5
English Pale Ale,Chico's Revenge,5
English Pale Mild Ale,Infinitas Attero,5
English Porter,Black Jack Porter,5
Euro Dark Lager,Michael Shea's Irish Amber,5
Euro Pale Lager,Primus,5
Extra Special / Strong Bitter (ESB),Sierra Nevada ESB (Early Spring Beer),5
Faro,Lindemans Faro Lambic,5
Flanders Red Ale,Rodenbach Grand Cru,5
Foreign / Export Stout,De Dolle Extra Export Stout,5
Fruit / Vegetable Beer,"#9",5
German Pilsener,Bitburger Premium Pils,5
Gose,Cascade Summer Gose,5
Happoshu,Kirin Gokunama Happoshu,5
Hefeweizen,Franziskaner Hefe-Weisse,5
Irish Red Ale,Irish Ale,5
Kristalweizen,Rieser Kristall-Weizen,5
Kvass,Session Ale #40: Wood St. Kvass,5
Kölsch,Cambridge House Copper Hill Kölsch,5
Lambic - Unblended,Single Dry Hop Lambic - Pacific Gem,5
Low Alcohol Beer,Clausthaler Premium,5
Munich Dunkel Lager,Warsteiner Premium Dunkel,5
Munich Helles Lager,Spaten Münchner Hell (Premium Lager),5
Märzen / Oktoberfest,Löwenbräu Oktoberfestbier,5
Oatmeal Stout,Velvet Merlin (Merkin),5
Pumpkin Ale,Imperial Pumpkin Ale,5
Roggenbier,Mill Street Schleimhammer Roggenbier,5
Rye Beer,Founders Red's Rye PA,5
Saison / Farmhouse Ale,Hennepin (Farmhouse Saison),5
Schwarzbier,Short's Bourbon Barrel Sustenance Black Beer,5
Tripel,Épluche-Culotte,5
Vienna Lager,Samuel Adams Boston Lager,5
Wheatwine,Anniversary Ale,5
Witbier,Midnight Wit,5
Altbier,Alaskan Amber,5
American Amber / Red Ale,Fat Tire Amber Ale,5
American Black Ale,Back In Black,5
American Dark Wheat Ale,Lunar,5
American Double / Imperial IPA,Moylander Double IPA,5
American Pale Ale (APA),Mirror Pond Pale Ale,5
American Pale Lager,Bürger Classic,5
American Pale Wheat Ale,Ta Henket,5
American Stout,Bell's Special Double Cream Stout,5
American Strong Ale,Kentucky Bourbon Barrel Ale,5
Baltic Porter,"Killer ""Kapowski"" Kowalski",5
Belgian Strong Dark Ale,Abbaye D'Aulne Super Noël 9°,5
Belgian Strong Pale Ale,Duvel,5
Bière de Champagne / Bière Brut,Malheur Bière Brut (Brut Reserve),5
Bière de Garde,En Garde,5
Bock,Kick Back Bock,5
Chile Beer,Ring Of Fire Porter,5
Czech Pilsener,Samuel Adams Noble Pils,5
Doppelbock,St. Victorious,5
Dunkelweizen,Shiner Holiday Cheer,5
English Stout,Hopback Entire Stout,5
English Strong Ale,Reindeer's Revolt,5
Euro Strong Lager,Artois Bock,5
Flanders Oud Bruin,Haandbakk,5
Gueuze,Cantillon Gueuze 100% Lambic-Bio (Organic Gueuze),5
Herbed / Spiced Beer,Juniper Pale Ale,5
Irish Dry Stout,Black Sun Stout,5
Japanese Rice Lager,Sapporo Premium Beer,5
Keller Bier / Zwickel Bier,Hell,5
Lambic - Fruit,Lindemans Apple,5
Light Lager,Lionshead Light,5
Maibock / Helles Bock,Andygator,5
Milk / Sweet Stout,Young's Double Chocolate Stout,5
Old Ale,Fuller's Vintage Ale,5
Quadrupel (Quad),St. Bernardus Abt 12,5
Rauchbier,Harpoon Rauchfetzen (100 Barrel Series #25),5
Russian Imperial Stout,Stone Imperial Russian Stout,5
Sahti,Sah'tea,5
Scotch Ale / Wee Heavy,Sheep Shagger Scotch Ale,5
Scottish Ale,The Red MacGregor,5
Scottish Gruit / Ancient Herbed Ale,Weekapaug Gruit Ale,5
Smoked Beer,Smoke Ale,5
Weizenbock,Schneider-Brooklyner Hopfen-Weisse,5
Winter Warmer,Great Lakes Christmas Ale,5
