Brewery name, Number of mentions
Stone Brewing Co.,12192
Sierra Nevada Brewing Co.,10422
Dogfish Head Brewery,8934
Founders Brewing Company,8508
"Bell's Brewery, Inc.",8327
Russian River Brewing Company,7144
Boston Beer Company (Samuel Adams),6933
Rogue Ales,6697
Victory Brewing Company,6559
Three Floyds Brewing Co. & Brewpub,6543
Unibroue,5104
Lagunitas Brewing Company,4831
Goose Island Beer Co.,4715
Deschutes Brewery,4610
Great Lakes Brewing Company,4535
Great Divide Brewing Company,4489
Southern Tier Brewing Company,4417
Tröegs Brewing Company,4302
New Glarus Brewing Company,4170
Samuel Smith Old Brewery (Tadcaster),4107
Brooklyn Brewery,3754
North Coast Brewing Co.,3619
Avery Brewing Company,3548
Bayerische Staatsbrauerei Weihenstephan,3531
Bear Republic Brewing Co.,3450
Brewery Ommegang,3400
Surly Brewing Company,3398
New Belgium Brewing,3185
Brouwerij St. Bernardus NV,3182
Smuttynose Brewing Company,2973
AleSmith Brewing Company,2968
Anchor Brewing Company,2891
Allagash Brewing Company,2718
The Lost Abbey,2548
Firestone Walker Brewing Co.,2528
Privatbrauerei Franz Inselkammer KG / Brauerei Aying,2482
Brasserie de Rochefort,2470
Brasserie Cantillon,2457
Oskar Blues Grill & Brew,2407
Cigar City Brewing,2404
Port Brewing Company / Pizza Port,2371
Weyerbacher Brewing Co.,2371
Fuller Smith & Turner PLC,2270
Boulevard Brewing Co.,2213
Ballast Point Brewing Company,2202
The Bruery,2193
Bières de Chimay S.A.,2131
Weisses Bräuhaus G. Schneider & Sohn GmbH,1994
Brouwerij Duvel Moortgat NV,1955
Terrapin Beer Company,1882
Flying Dog Brewery,1847
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),1815
Mikkeller ApS,1775
Harpoon Brewery,1727
De Struise Brouwers,1686
Jolly Pumpkin Artisan Ales,1607
Spaten-Franziskaner-Bräu,1585
Alpine Beer Company,1579
Southampton Publick House,1550
Minneapolis Town Hall Brewery,1546
Paulaner Brauerei GmbH & Co. KG,1536
Brasserie Dieu Du Ciel,1523
Green Flash Brewing Co.,1518
Wells & Young's Ltd,1484
Left Hand Brewing Company,1479
Dark Horse Brewing Company,1463
Guinness Ltd.,1422
Magic Hat Brewing Company,1378
Ithaca Beer Company,1370
Odell Brewing Company,1329
Brasserie Fantôme,1324
Brasserie Dupont sprl,1308
Brouwerij Van Steenberge N.V.,1288
Stoudts Brewing Co.,1284
Hair of the Dog Brewing Company / Brewery and Tasting Room,1268
Anderson Valley Brewing Company,1258
Tyranena Brewing Company,1251
Brouwerij Westmalle,1195
Heavy Seas Beer,1179
Full Sail Brewery & Tasting Room & Pub,1125
New Holland Brewing Company,1085
Short's Brewing Company,1061
Brasserie d'Achouffe,1055
Captain Lawrence Brewing Co.,1047
Two Brothers Brewing Company,1020
Hoppin' Frog Brewery,988
Kuhnhenn Brewing Company,987
Saint Louis Brewery / Schlafly Tap Room,986
